datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
179715,492,1,15,15-Jan-0492 00:00:00,278.002008829164,278.681228772493,277.322788885835
180201,493,5,15,15-May-0493 00:00:00,278.883194973165,280.390244799842,277.376145146489
180689,494,9,15,15-Sep-0494 00:00:00,274.829583814987,272.593146557817,277.066021072157
181176,496,1,15,15-Jan-0496 00:00:00,277.947584746532,278.626804689861,277.268364803203
181662,497,5,15,15-May-0497 00:00:00,278.822287932978,280.329337759655,277.315238106302
182150,498,9,15,15-Sep-0498 00:00:00,274.794427769178,272.557990512008,277.030865026348
182637,500,1,15,15-Jan-0500 00:00:00,277.900661113937,278.579881057266,277.221441170608
183122,501,5,15,15-May-0501 00:00:00,278.772656855246,280.279706681923,277.26560702857
183610,502,9,15,15-Sep-0502 00:00:00,274.740112917958,272.503675660788,276.976550175128
184097,504,1,15,15-Jan-0504 00:00:00,277.854193552532,278.533413495861,277.174973609203
184583,505,5,15,15-May-0505 00:00:00,278.721600570936,280.228650397613,277.21455074426
185071,506,9,15,15-Sep-0506 00:00:00,274.692113266582,272.455676009412,276.928550523752
185558,508,1,15,15-Jan-0508 00:00:00,277.8032573149,278.482477258229,277.124037371571
186044,509,5,15,15-May-0509 00:00:00,278.692914086695,280.199963913372,277.185864260019
186532,510,9,15,15-Sep-0510 00:00:00,274.654213196594,272.417775939424,276.890650453764
187019,512,1,15,15-Jan-0512 00:00:00,277.76116313895,278.440383082279,277.081943195621
187505,513,5,15,15-May-0513 00:00:00,278.646731898707,280.153781725384,277.139682072031
187993,514,9,15,15-Sep-0514 00:00:00,274.608671531382,272.372234274212,276.845108788552
188480,516,1,15,15-Jan-0516 00:00:00,277.729605284154,278.408825227483,277.050385340825
188966,517,5,15,15-May-0517 00:00:00,278.616065595269,280.123115421946,277.109015768593
189454,518,9,15,15-Sep-0518 00:00:00,274.583408566872,272.346971309702,276.819845824042
189941,520,1,15,15-Jan-0520 00:00:00,277.70537001733,278.384589960659,277.026150074001
190427,521,5,15,15-May-0521 00:00:00,278.590889925939,280.097939752616,277.083840099263
190915,522,9,15,15-Sep-0522 00:00:00,274.565262233125,272.328824975955,276.801699490295
191402,524,1,15,15-Jan-0524 00:00:00,277.693625938323,278.372845881652,277.014405994994
191888,525,5,15,15-May-0525 00:00:00,278.593242417987,280.100292244664,277.086192591311
192376,526,9,15,15-Sep-0526 00:00:00,274.573680238075,272.337242980905,276.810117495245
192863,528,1,15,15-Jan-0528 00:00:00,277.699722854636,278.378942797965,277.020502911307
193349,529,5,15,15-May-0529 00:00:00,278.595013714095,280.102063540772,277.087963887419
193837,530,9,15,15-Sep-0530 00:00:00,274.569096081303,272.332658824133,276.805533338473
194324,532,1,15,15-Jan-0532 00:00:00,277.711384517038,278.390604460367,277.032164573709
194810,533,5,15,15-May-0533 00:00:00,278.625613076114,280.132662902791,277.118563249438
195298,534,9,15,15-Sep-0534 00:00:00,274.612711594132,272.376274336962,276.849148851302
195785,536,1,15,15-Jan-0536 00:00:00,277.738965226197,278.418185169526,277.059745282868
196271,537,5,15,15-May-0537 00:00:00,278.645209567859,280.152259394536,277.138159741183
196759,538,9,15,15-Sep-0538 00:00:00,274.612421575533,272.375984318363,276.848858832703
197246,540,1,15,15-Jan-0540 00:00:00,277.753646516475,278.432866459804,277.074426573146
197732,541,5,15,15-May-0541 00:00:00,278.651594757597,280.158644584274,277.144544930921
198220,542,9,15,15-Sep-0542 00:00:00,274.637057208559,272.400619951389,276.873494465729
198707,544,1,15,15-Jan-0544 00:00:00,277.78085616828,278.460076111609,277.101636224951
199193,545,5,15,15-May-0545 00:00:00,278.674540879853,280.18159070653,277.167491053177
199681,546,9,15,15-Sep-0546 00:00:00,274.669793290974,272.433356033804,276.906230548144
200168,548,1,15,15-Jan-0548 00:00:00,277.794779089327,278.473999032656,277.115559145998
200654,549,5,15,15-May-0549 00:00:00,278.709852049035,280.216901875712,277.202802222359
201142,550,9,15,15-Sep-0550 00:00:00,274.692654695832,272.456217438662,276.929091953002
201629,552,1,15,15-Jan-0552 00:00:00,277.809412381627,278.488632324956,277.130192438298
202115,553,5,15,15-May-0553 00:00:00,278.692940553178,280.199990379855,277.185890726502
202603,554,9,15,15-Sep-0554 00:00:00,274.692489560414,272.456052303244,276.928926817584
203090,556,1,15,15-Jan-0556 00:00:00,277.809440921969,278.488660865298,277.13022097864
203576,557,5,15,15-May-0557 00:00:00,278.703548530748,280.210598357425,277.196498704072
204064,558,9,15,15-Sep-0558 00:00:00,274.690762442732,272.454325185562,276.927199699902
204551,560,1,15,15-Jan-0560 00:00:00,277.814176885447,278.493396828776,277.134956942118
205037,561,5,15,15-May-0561 00:00:00,278.728300847436,280.235350674113,277.22125102076
205525,562,9,15,15-Sep-0562 00:00:00,274.694233978158,272.457796720988,276.930671235328
206012,564,1,15,15-Jan-0564 00:00:00,277.824923506995,278.504143450324,277.145703563666
206498,565,5,15,15-May-0565 00:00:00,278.729509433645,280.236559260322,277.222459606969
206986,566,9,15,15-Sep-0566 00:00:00,274.702409920234,272.465972663064,276.938847177404
207473,568,1,15,15-Jan-0568 00:00:00,277.835605723967,278.514825667296,277.156385780638
207959,569,5,15,15-May-0569 00:00:00,278.732692160552,280.239741987229,277.225642333876
208447,570,9,15,15-Sep-0570 00:00:00,274.703958775479,272.467521518309,276.940396032649
208934,572,1,15,15-Jan-0572 00:00:00,277.845830388031,278.52505033136,277.166610444702
209420,573,5,15,15-May-0573 00:00:00,278.739647927189,280.246697753866,277.232598100513
209908,574,9,15,15-Sep-0574 00:00:00,274.729812500279,272.493375243109,276.966249757449
210395,576,1,15,15-Jan-0576 00:00:00,277.860189344622,278.539409287951,277.180969401293
210881,577,5,15,15-May-0577 00:00:00,278.761653487345,280.268703314022,277.254603660669
211369,578,9,15,15-Sep-0578 00:00:00,274.751622315754,272.515185058584,276.988059572924
211856,580,1,15,15-Jan-0580 00:00:00,277.879531600655,278.558751543984,277.200311657326
212342,581,5,15,15-May-0581 00:00:00,278.791709342024,280.298759168701,277.284659515348
212830,582,9,15,15-Sep-0582 00:00:00,274.786492335117,272.550055077947,277.022929592287
213317,584,1,15,15-Jan-0584 00:00:00,277.937441724756,278.616661668085,277.258221781427
213803,585,5,15,15-May-0585 00:00:00,278.857000922827,280.364050749504,277.349951096151
214291,586,9,15,15-Sep-0586 00:00:00,274.853351854021,272.616914596851,277.089789111191
214778,588,1,15,15-Jan-0588 00:00:00,277.997205045109,278.676424988438,277.31798510178
215264,589,5,15,15-May-0589 00:00:00,278.916001059759,280.423050886436,277.408951233083
215752,590,9,15,15-Sep-0590 00:00:00,274.908726180273,272.672288923103,277.145163437443
216239,592,1,15,15-Jan-0592 00:00:00,278.059906873355,278.739126816684,277.380686930026
216725,593,5,15,15-May-0593 00:00:00,278.981200199584,280.488250026261,277.474150372908
217213,594,9,15,15-Sep-0594 00:00:00,274.986354590978,272.749917333808,277.222791848148
217700,596,1,15,15-Jan-0596 00:00:00,278.116622661958,278.795842605287,277.437402718629
